Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Pr_nom du candidat, Candidate's Initial(s) / Initiale(s) du candidat,Date of Receipt of Notification of Confirmation / Date de r_ception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de r_ception de l'avis de confirmation
24037,LaSalle--êmard--Verdun,LaSalle--êmard--Verdun,Green Party of Canada,Le Parti Vert du Canada,Banville,Lorraine,,25-Sep-15,2:30:00
24037,LaSalle--êmard--Verdun,LaSalle--êmard--Verdun,Liberal Party of Canada,Parti lib_ral du Canada,Lametti,David,,01-Sep-15,11:20:00
24037,LaSalle--êmard--Verdun,LaSalle--êmard--Verdun,New Democratic Party,Nouveau Parti d_mocratique,LeBlanc,H_l_ne,,17-Aug-15,3:40:00
24037,LaSalle--êmard--Verdun,LaSalle--êmard--Verdun,Bloc Quebecois,Bloc Qu_b_cois,Paquette,Gilbert,,08-Sep-15,3:25:00
24037,LaSalle--êmard--Verdun,LaSalle--êmard--Verdun,Conservative Party of Canada,Parti conservateur du Canada,Zamir,Mohammad,,20-Sep-15,2:15:00
24038,Laurentides--Labelle,Laurentides--Labelle,Conservative Party of Canada,Parti conservateur du Canada,Charron,Sylvain,,19-Sep-15,5:01:00
24038,Laurentides--Labelle,Laurentides--Labelle,Liberal Party of Canada,Parti lib_ral du Canada,Graham,David,,10-Sep-15,3:42:00
24038,Laurentides--Labelle,Laurentides--Labelle,Green Party of Canada,Le Parti Vert du Canada,Hedjazi,Niloufar,,21-Sep-15,1:14:00
24038,Laurentides--Labelle,Laurentides--Labelle,New Democratic Party,Nouveau Parti d_mocratique,Landry,Simon-Pierre,,04-Sep-15,1:40:00
24038,Laurentides--Labelle,Laurentides--Labelle,Bloc Quebecois,Bloc Qu_b_cois,R_gimbald,Johanne,,02-Sep-15,3:33:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Libertarian Party of Canada,Parti Libertarien du Canada,Beaulieu,St_phane,,28-Sep-15,10:25:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Independent,Ind_pendant,Bernatchez,Julien,,28-Sep-15,6:00:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Bloc Quebecois,Bloc Qu_b_cois,Duceppe,Gilles,,21-Aug-15,2:30:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Communist Party of Canada,Parti communiste du Canada,Fontaine,Pierre,,05-Sep-15,1:00:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Conservative Party of Canada,Parti conservateur du Canada,Gaudreau,Daniel,,12-Sep-15,1:00:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Green Party of Canada,Le Parti Vert du Canada,Giraud,Cyrille,,21-Aug-15,2:30:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Lachapelle,Serge,,31-Aug-15,9:50:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,New Democratic Party,Nouveau Parti d_mocratique,Laverdi_re,H_l_ne,,22-Aug-15,4:22:00
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Liberal Party of Canada,Parti lib_ral du Canada,Poirier,Christine,,16-Aug-15,11:15:00
24040,Laval--Les ûles,Laval--Les ûles,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Breton,Yvon,,31-Aug-15,4:42:00
24040,Laval--Les ûles,Laval--Les ûles,Conservative Party of Canada,Parti conservateur du Canada,Dick,Roland,,20-Aug-15,3:29:00
24040,Laval--Les ûles,Laval--Les ûles,Liberal Party of Canada,Parti lib_ral du Canada,El-Khoury,Fay_al,,19-Aug-15,4:52:00
24040,Laval--Les ûles,Laval--Les ûles,New Democratic Party,Nouveau Parti d_mocratique,Pilon,Fran_ois,,27-Aug-15,4:39:00
24040,Laval--Les ûles,Laval--Les ûles,Bloc Quebecois,Bloc Qu_b_cois,Redhead,Nancy,,04-Sep-15,12:50:00
24040,Laval--Les ûles,Laval--Les ûles,Green Party of Canada,Le Parti Vert du Canada,R'Guiba-Kalogerakis,Faiza,,10-Sep-15,1:00:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Conservative Party of Canada,Parti conservateur du Canada,Barr_,Thomas,,04-Sep-15,4:10:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Ch_nier,Pierre,,30-Aug-15,3:00:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Bloc Quebecois,Bloc Qu_b_cois,Cloutier,Philippe,,14-Aug-15,10:50:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,New Democratic Party,Nouveau Parti d_mocratique,Groguh_,Sadia,,16-Aug-15,5:03:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Green Party of Canada,Le Parti Vert du Canada,Leclerc,Mario,,14-Aug-15,1:19:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Rhinoceros Party,Parti Rhinoc_ros,Liberman,Matthew Iakov,,29-Sep-15,10:20:00
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Liberal Party of Canada,Parti lib_ral du Canada,Romanado,Sherry,,25-Aug-15,11:15:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,Alliance of the North,Alliance du Nord,Belanger,Fran_ois,,28-Sep-15,1:35:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,Green Party of Canada,Le Parti Vert du Canada,Biello,Tina,,22-Sep-15,7:29:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,New Democratic Party,Nouveau Parti d_mocratique,Bilodeau,H_l_ne,,15-Sep-15,11:30:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,Liberal Party of Canada,Parti lib_ral du Canada,Boucher,Claude,,21-Aug-15,10:50:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,Bloc Quebecois,Bloc Qu_b_cois,Gagn_,Steve,,08-Sep-15,2:45:00
24042,L_vis--Lotbini_re,L_vis--Lotbini_re,Conservative Party of Canada,Parti conservateur du Canada,Gourde,Jacques,,18-Aug-15,12:57:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Strength in Democracy,Forces et D_mocratie,Lwalalika,Affine,,01-Sep-15,2:00:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,New Democratic Party,Nouveau Parti d_mocratique,Nantel,Pierre,,25-Aug-15,11:00:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Liberal Party of Canada,Parti lib_ral du Canada,O'Grady,Michael,,17-Aug-15,5:45:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Green Party of Canada,Le Parti Vert du Canada,Poitras,Casandra,,28-Aug-15,1:00:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Conservative Party of Canada,Parti conservateur du Canada,Sedlak,John,,15-Sep-15,6:00:00
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Bloc Quebecois,Bloc Qu_b_cois,Trudel,Denis,,21-Aug-15,4:00:00
24044,Louis-H_bert,Louis-H_bert,Conservative Party of Canada,Parti conservateur du Canada,Asselin,Jean-Pierre,,18-Aug-15,2:00:00
24044,Louis-H_bert,Louis-H_bert,Green Party of Canada,Le Parti Vert du Canada,Beaudoin-Julien,Andr_e-Anne,,26-Sep-15,8:45:00
24044,Louis-H_bert,Louis-H_bert,New Democratic Party,Nouveau Parti d_mocratique,Blanchette,Denis,,26-Aug-15,4:00:00
24044,Louis-H_bert,Louis-H_bert,Christian Heritage Party of Canada,Parti de l'H_ritage Chr_tien du Canada,Jetchick,Stefan,,19-Sep-15,8:30:00
24044,Louis-H_bert,Louis-H_bert,Liberal Party of Canada,Parti lib_ral du Canada,Lightbound,Jo_l,,24-Aug-15,12:00:00
24044,Louis-H_bert,Louis-H_bert,Bloc Quebecois,Bloc Qu_b_cois,Pageau,Caroline,,01-Sep-15,10:30:00
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,New Democratic Party,Nouveau Parti d_mocratique,Caron,G. Daniel,,20-Aug-15,12:10:00
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Conservative Party of Canada,Parti conservateur du Canada,Deltell,G_rard,,19-Aug-15,11:30:00
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Liberal Party of Canada,Parti lib_ral du Canada,Rousseau,Youri,,01-Sep-15,4:00:00
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Green Party of Canada,Le Parti Vert du Canada,Savard,Michel,,15-Sep-15,4:30:00
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Bloc Quebecois,Bloc Qu_b_cois,Sirard,Ronald,,02-Sep-15,2:20:00
24046,Manicouagan,Manicouagan,Conservative Party of Canada,Parti conservateur du Canada,Boudreau,Yvon,,30-Aug-15,1:10:00
24046,Manicouagan,Manicouagan,New Democratic Party,Nouveau Parti d_mocratique,Genest-Jourdain,Jonathan,,25-Aug-15,1:35:00
24046,Manicouagan,Manicouagan,Bloc Quebecois,Bloc Qu_b_cois,Gill,Maril_ne,,22-Aug-15,11:37:00
24046,Manicouagan,Manicouagan,Green Party of Canada,Le Parti Vert du Canada,Grills,Nathan,,29-Sep-15,1:35:00
24046,Manicouagan,Manicouagan,Liberal Party of Canada,Parti lib_ral du Canada,Tremblay,Mario,,16-Sep-15,10:45:00
24047,M_gantic--L'êrable,M_gantic--L'êrable,Liberal Party of Canada,Parti lib_ral du Canada,Berthiaume,David,,04-Sep-15,11:25:00
24047,M_gantic--L'êrable,M_gantic--L'êrable,Conservative Party of Canada,Parti conservateur du Canada,Berthold,Luc,,25-Aug-15,11:40:00
24047,M_gantic--L'êrable,M_gantic--L'êrable,New Democratic Party,Nouveau Parti d_mocratique,Delisle,Jean-Fran_ois,,12-Sep-15,9:45:00
24047,M_gantic--L'êrable,M_gantic--L'êrable,Green Party of Canada,Le Parti Vert du Canada,Gervais,Justin,,28-Sep-15,1:45:00
24047,M_gantic--L'êrable,M_gantic--L'êrable,Bloc Quebecois,Bloc Qu_b_cois,Provost,Virginie,,08-Sep-15,4:15:00
24048,Mirabel,Mirabel,Conservative Party of Canada,Parti conservateur du Canada,Ferguson,Gordon,,22-Sep-15,2:45:00
24048,Mirabel,Mirabel,New Democratic Party,Nouveau Parti d_mocratique,Freeman,Myl_ne,,25-Aug-15,2:35:00
24048,Mirabel,Mirabel,Green Party of Canada,Le Parti Vert du Canada,Gifford,Jocelyn,,28-Sep-15,11:12:00
24048,Mirabel,Mirabel,Bloc Quebecois,Bloc Qu_b_cois,Marcil,Simon,,21-Aug-15,12:14:00
24048,Mirabel,Mirabel,Liberal Party of Canada,Parti lib_ral du Canada,Trudel,Karl,,21-Aug-15,3:04:00
24049,Montarville,Montarville,Green Party of Canada,Le Parti Vert du Canada,Adam,Olivier,,25-Sep-15,9:40:00
24049,Montarville,Montarville,Conservative Party of Canada,Parti conservateur du Canada,Duranleau,St_phane,,31-Aug-15,3:00:00
24049,Montarville,Montarville,Bloc Quebecois,Bloc Qu_b_cois,Fournier,Catherine,,15-Aug-15,11:30:00
24049,Montarville,Montarville,Libertarian Party of Canada,Parti Libertarien du Canada,Leclair,Claude,,04-Sep-15,7:53:00
24049,Montarville,Montarville,Liberal Party of Canada,Parti lib_ral du Canada,Picard,Michel,,14-Aug-15,4:00:00
24049,Montarville,Montarville,New Democratic Party,Nouveau Parti d_mocratique,Sellah,Djaouida,,17-Aug-15,4:30:00
24050,Montcalm,Montcalm,Green Party of Canada,Le Parti Vert du Canada,Ang,Yumi Yow Mei,,23-Sep-15,6:33:00
24050,Montcalm,Montcalm,Conservative Party of Canada,Parti conservateur du Canada,DesRoches,Gis_le,,14-Sep-15,8:00:00
24050,Montcalm,Montcalm,New Democratic Party,Nouveau Parti d_mocratique,Leclerc,Martin,,03-Sep-15,4:25:00
24050,Montcalm,Montcalm,Strength in Democracy,Forces et D_mocratie,Perreault,Manon,,25-Aug-15,11:55:00
24050,Montcalm,Montcalm,Bloc Quebecois,Bloc Qu_b_cois,Th_riault,Luc,,25-Sep-15,7:30:00
24050,Montcalm,Montcalm,Liberal Party of Canada,Parti lib_ral du Canada,Thouin,Louis-Charles,,23-Sep-15,12:35:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Green Party of Canada,Le Parti Vert du Canada,Breton,Chantal,,22-Sep-15,3:25:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Rhinoceros Party,Parti Rhinoc_ros,Gagn_,Bien Gras,,15-Sep-15,11:00:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Bloc Quebecois,Bloc Qu_b_cois,Gagnon,Louis,,29-Aug-15,10:08:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Conservative Party of Canada,Parti conservateur du Canada,G_n_reux,Bernard,,18-Aug-15,1:30:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,New Democratic Party,Nouveau Parti d_mocratique,Lapointe,Fran_ois,,05-Sep-15,1:49:00
24051,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Montmagny--L'Islet--Kamouraska--Rivi_re-du-Loup,Liberal Party of Canada,Parti lib_ral du Canada,Normand,Marie-Jos_e,,09-Sep-15,3:05:00
24052,Mount Royal,Mont-Royal,Bloc Quebecois,Bloc Qu_b_cois,Boss_ B_langer,Jade,,18-Sep-15,12:00:00
24052,Mount Royal,Mont-Royal,Liberal Party of Canada,Parti lib_ral du Canada,Housefather,Anthony,,20-Aug-15,2:00:00
24052,Mount Royal,Mont-Royal,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Johnston,Diane,,12-Sep-15,5:05:00
24052,Mount Royal,Mont-Royal,Green Party of Canada,Le Parti Vert du Canada,Landry,Timothy,,27-Sep-15,1:52:00
24052,Mount Royal,Mont-Royal,Conservative Party of Canada,Parti conservateur du Canada,Libman,Robert,,24-Aug-15,4:00:00
24052,Mount Royal,Mont-Royal,New Democratic Party,Nouveau Parti d_mocratique,Rimbao,Mario Jacinto,,12-Sep-15,1:30:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Independent,Ind_pendant,Cahn,Lisa Julie,,28-Aug-15,10:46:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Liberal Party of Canada,Parti lib_ral du Canada,Garneau,Marc,,15-Aug-15,9:11:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Hoffman,Rachel,,11-Sep-15,12:05:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,New Democratic Party,Nouveau Parti d_mocratique,Hughes,James,,02-Sep-15,5:02:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Bloc Quebecois,Bloc Qu_b_cois,Quesnel,Simon,,17-Sep-15,4:38:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Conservative Party of Canada,Parti conservateur du Canada,Sagala,Richard,,14-Aug-15,1:15:00
24053,Notre-Dame-de-Grüce--Westmount,Notre-Dame-de-Grüce--Westmount,Green Party of Canada,Le Parti Vert du Canada,Wheeler,Melissa Kate,,28-Aug-15,3:15:00
24054,Outremont,Outremont,Liberal Party of Canada,Parti lib_ral du Canada,Bendayan,Rachel,,28-Aug-15,5:00:00
24054,Outremont,Outremont,Green Party of Canada,Le Parti Vert du Canada,Diallo,Amara,,28-Sep-15,1:30:00
24054,Outremont,Outremont,Bloc Quebecois,Bloc Qu_b_cois,Galland Barou,Roger,,09-Sep-15,7:45:00
24054,Outremont,Outremont,Conservative Party of Canada,Parti conservateur du Canada,Husny,Rodolphe,,11-Sep-15,6:00:00
24054,Outremont,Outremont,New Democratic Party,Nouveau Parti d_mocratique,Mulcair,Tom,,30-Aug-15,11:30:00
24054,Outremont,Outremont,Libertarian Party of Canada,Parti Libertarien du Canada,Pouliot,Francis,,28-Sep-15,3:00:00
24054,Outremont,Outremont,Communist Party of Canada,Parti communiste du Canada,Welsh,Adrien,,09-Sep-15,5:15:00
24055,Papineau,Papineau,No Affiliation,Aucune appartenance,Bernardo,Beverly,,25-Aug-15,3:15:00
24055,Papineau,Papineau,Bloc Quebecois,Bloc Qu_b_cois,Claveau,Maxime,,28-Aug-15,3:10:00
24055,Papineau,Papineau,Rhinoceros Party,Parti Rhinoc_ros,Gaudet,Tommy,,25-Sep-15,12:00:00
24055,Papineau,Papineau,New Democratic Party,Nouveau Parti d_mocratique,Lagac_ Dowson,Anne,,02-Sep-15,10:03:00
24055,Papineau,Papineau,Independent,Ind_pendant,Lloyd,Chris,,16-Sep-15,2:31:00
24055,Papineau,Papineau,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Macrisopoulos,Peter,,13-Sep-15,2:59:00
24055,Papineau,Papineau,Green Party of Canada,Le Parti Vert du Canada,Polifroni,Danny,,25-Aug-15,9:50:00
24055,Papineau,Papineau,Liberal Party of Canada,Parti lib_ral du Canada,Trudeau,Justin,,26-Aug-15,10:42:00
24055,Papineau,Papineau,Conservative Party of Canada,Parti conservateur du Canada,Vadnais,Yvon,,22-Sep-15,10:05:00
24055,Papineau,Papineau,Independent,Ind_pendant,Waldron,Kim,,20-Sep-15,3:35:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Conservative Party of Canada,Parti conservateur du Canada,Assouline,Val_rie,,15-Aug-15,12:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Liberal Party of Canada,Parti lib_ral du Canada,Baylis,Frank,,30-Aug-15,12:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,New Democratic Party,Nouveau Parti d_mocratique,Blanchette-Lamothe,Lysane,,16-Aug-15,2:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Bloc Quebecois,Bloc Qu_b_cois,Laplante,Natalie,,11-Sep-15,6:30:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Green Party of Canada,Le Parti Vert du Canada,Weizfeld,Abraham,,17-Sep-15,11:00:00
24057,Pontiac,Pontiac,Liberal Party of Canada,Parti lib_ral du Canada,Amos,William,,26-Aug-15,9:30:00
24057,Pontiac,Pontiac,Green Party of Canada,Le Parti Vert du Canada,Griffiths,Colin,,26-Aug-15,10:50:00
24057,Pontiac,Pontiac,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Lang,Louis,,03-Sep-15,12:25:00
24057,Pontiac,Pontiac,Bloc Quebecois,Bloc Qu_b_cois,Lepage,Nicolas,,04-Sep-15,5:40:00
24057,Pontiac,Pontiac,Strength in Democracy,Forces et D_mocratie,M_dieu,Pascal,,02-Sep-15,2:15:00
24057,Pontiac,Pontiac,New Democratic Party,Nouveau Parti d_mocratique,Ravignat,Mathieu,,28-Aug-15,11:15:00
24057,Pontiac,Pontiac,Conservative Party of Canada,Parti conservateur du Canada,Woodman,Benjamin,,10-Sep-15,4:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Liberal Party of Canada,Parti lib_ral du Canada,Gauvin,David,,19-Sep-15,5:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Conservative Party of Canada,Parti conservateur du Canada,Godin,Jo_l,,21-Aug-15,3:30:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Bloc Quebecois,Bloc Qu_b_cois,Harvey,Raymond,,25-Aug-15,3:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,New Democratic Party,Nouveau Parti d_mocratique,Michaud,êlaine,,19-Aug-15,11:54:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Green Party of Canada,Le Parti Vert du Canada,Morin,Johanne,,28-Sep-15,10:00:00
24059,Qu_bec,Qu_bec,Conservative Party of Canada,Parti conservateur du Canada,Asselin,Pierre-Thomas,,01-Sep-15,8:40:00
24059,Qu_bec,Qu_bec,Liberal Party of Canada,Parti lib_ral du Canada,Duclos,Jean-Yves,,21-Aug-15,9:30:00
24059,Qu_bec,Qu_bec,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Fournier,Normand,,02-Sep-15,9:45:00
24059,Qu_bec,Qu_bec,Bloc Quebecois,Bloc Qu_b_cois,Mordret,Charles,,26-Aug-15,3:20:00
24059,Qu_bec,Qu_bec,New Democratic Party,Nouveau Parti d_mocratique,Papillon,Annick,,28-Aug-15,9:23:00
24059,Qu_bec,Qu_bec,Strength in Democracy,Forces et D_mocratie,Provost,Danielle,,22-Sep-15,8:23:00
24059,Qu_bec,Qu_bec,Green Party of Canada,Le Parti Vert du Canada,Riboty,Philippe,,18-Sep-15,12:20:00
24060,Repentigny,Repentigny,New Democratic Party,Nouveau Parti d_mocratique,Bellemare,R_jean,,02-Sep-15,4:40:00
24060,Repentigny,Repentigny,Strength in Democracy,Forces et D_mocratie,Cloutier,Johnathan,,04-Sep-15,12:20:00
24060,Repentigny,Repentigny,Liberal Party of Canada,Parti lib_ral du Canada,Dudas,Adriana,,17-Sep-15,6:40:00
24060,Repentigny,Repentigny,Green Party of Canada,Le Parti Vert du Canada,Gilbert,Yoland,,23-Sep-15,9:20:00
24060,Repentigny,Repentigny,Conservative Party of Canada,Parti conservateur du Canada,Lefebvre,Jonathan,,11-Sep-15,10:15:00
24060,Repentigny,Repentigny,Bloc Quebecois,Bloc Qu_b_cois,Pauz_,Monique,,24-Aug-15,1:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,New Democratic Party,Nouveau Parti d_mocratique,Beaulieu,Myriam,,10-Sep-15,9:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Green Party of Canada,Le Parti Vert du Canada,Busque,Laurier,,17-Sep-15,2:00:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Liberal Party of Canada,Parti lib_ral du Canada,Desmarais,Marc,,29-Aug-15,9:00:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Rhinoceros Party,Parti Rhinoc_ros,Dubois,Antoine,,03-Sep-15,12:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Bloc Quebecois,Bloc Qu_b_cois,Nolin,Olivier,,14-Aug-15,1:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Conservative Party of Canada,Parti conservateur du Canada,Rayes,Alain,,20-Aug-15,11:20:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,Conservative Party of Canada,Parti conservateur du Canada,Gauthier,êrick,,01-Sep-15,3:50:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,Liberal Party of Canada,Parti lib_ral du Canada,Lapointe,Linda,,28-Aug-15,12:05:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,New Democratic Party,Nouveau Parti d_mocratique,Liu,Laurin,,14-Aug-15,4:30:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,Bloc Quebecois,Bloc Qu_b_cois,Pinel,F_lix,,14-Aug-15,11:50:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,Independent,Ind_pendant,Quinteros,Luis,,28-Sep-15,12:40:00
24062,Rivi_re-des-Mille-ûles,Rivi_re-des-Mille-ûles,Green Party of Canada,Le Parti Vert du Canada,Ware,Alec,,15-Sep-15,1:00:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,Liberal Party of Canada,Parti lib_ral du Canada,B_lair Rolland,Janice,,23-Sep-15,2:00:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,Rhinoceros Party,Parti Rhinoc_ros,C_t_,Fobozof A.,,29-Sep-15,8:30:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,New Democratic Party,Nouveau Parti d_mocratique,Dionne Labelle,Pierre,,16-Aug-15,1:30:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,Bloc Quebecois,Bloc Qu_b_cois,Fortin,Rh_al,,19-Aug-15,6:45:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,Green Party of Canada,Le Parti Vert du Canada,Leckman,Joey,,20-Aug-15,6:10:00
24063,Rivi_re-du-Nord,Rivi_re-du-Nord,Conservative Party of Canada,Parti conservateur du Canada,Vignol,Romain,,17-Sep-15,3:00:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Rhinoceros Party,Parti Rhinoc_ros,Aglat,Laurent,,27-Sep-15,12:05:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bloc Quebecois,Bloc Qu_b_cois,Andr_,Claude,,26-Aug-15,11:35:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,New Democratic Party,Nouveau Parti d_mocratique,Boulerice,Alexandre,,15-Aug-15,1:15:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Ch_nier,St_phane,,31-Aug-15,1:30:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Libertarian Party of Canada,Parti Libertarien du Canada,d'Entremont,Peter,,28-Sep-15,7:00:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Conservative Party of Canada,Parti conservateur du Canada,Dohan,Jeremy,,15-Sep-15,9:10:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Liberal Party of Canada,Parti lib_ral du Canada,Medawar,Nadine,,11-Sep-15,6:25:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Green Party of Canada,Le Parti Vert du Canada,Muldeen,Sameer,,27-Sep-15,12:37:00
24065,Marc-Aur_le-Fortin,Marc-Aur_le-Fortin,Bloc Quebecois,Bloc Qu_b_cois,Jasmin-Tremblay,Patrice,,27-Aug-15,11:50:00
24065,Marc-Aur_le-Fortin,Marc-Aur_le-Fortin,New Democratic Party,Nouveau Parti d_mocratique,Lemieux,Marie-Jos_e,,28-Aug-15,2:30:00
24065,Marc-Aur_le-Fortin,Marc-Aur_le-Fortin,Conservative Party of Canada,Parti conservateur du Canada,Makridis,Nicolas,,21-Sep-15,3:20:00
24065,Marc-Aur_le-Fortin,Marc-Aur_le-Fortin,Green Party of Canada,Le Parti Vert du Canada,Mungur,Lorna,,25-Sep-15,10:22:00
24065,Marc-Aur_le-Fortin,Marc-Aur_le-Fortin,Liberal Party of Canada,Parti lib_ral du Canada,Robillard,Yves,,10-Sep-15,8:45:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Green Party of Canada,Le Parti Vert du Canada,Durand,Lise,,27-Sep-15,12:15:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Bloc Quebecois,Bloc Qu_b_cois,Filion,Michel,,02-Sep-15,3:50:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Conservative Party of Canada,Parti conservateur du Canada,L_veill_,R_jean,,11-Aug-15,2:37:00
